strategy,crypto,fill_model,total_trades,filled_trades,fill_rate,winning_trades,losing_trades,win_rate,total_capital_deployed,total_net_pnl,total_fees,roi_pct,profit_factor,sharpe_ratio,max_drawdown,param_tier1_price,param_tier2_price,param_tier1_capital,param_tier2_capital,param_exit_strategy,composite_score
volatility_spread,ETH,optimistic,3452,1848,0.5353,122,1726,0.066,369600.0,3440993.55,7392.0,931.0,10.7727,0.6541,34853.68,,,,,hold_to_resolution,0.6414
volatility_spread,ETH,optimistic,3452,1870,0.5417,1060,810,0.5668,374000.0,1548223.99,7480.0,413.96,10.3695,0.7901,2691.89,,,,,sell_at_target,0.6279
volatility_spread,ETH,optimistic,3452,1870,0.5417,1064,806,0.569,374000.0,1531105.38,7480.0,409.39,10.3119,0.7831,2691.89,,,,,sell_at_target,0.626
volatility_spread,ETH,optimistic,3452,1848,0.5353,1048,800,0.5671,369600.0,1513134.93,7392.0,409.4,10.2717,0.7836,3528.0,,,,,sell_at_target,0.6236
volatility_spread,ETH,optimistic,3452,1848,0.5353,1051,797,0.5687,369600.0,1497932.59,7392.0,405.28,10.2131,0.7759,3528.0,,,,,sell_at_target,0.6215
volatility_spread,ETH,optimistic,3452,1816,0.5261,92,1724,0.0507,363200.0,3301316.71,7264.0,908.95,10.3868,0.6435,39649.68,,,,,hold_to_resolution,0.6206
volatility_spread,ETH,optimistic,3452,1899,0.5501,1073,826,0.565,379800.0,1495533.51,7596.0,393.77,9.8754,0.7651,2951.43,,,,,sell_at_target,0.6159
volatility_spread,ETH,optimistic,3452,1899,0.5501,1077,822,0.5671,379800.0,1475051.2,7596.0,388.38,9.7964,0.756,2794.84,,,,,sell_at_target,0.6133
volatility_spread,SOL,optimistic,3354,1747,0.5209,769,978,0.4402,349400.0,1784331.52,6988.0,510.68,9.9435,0.8436,12264.08,,,,,sell_at_target,0.612
volatility_spread,SOL,optimistic,3354,1717,0.5119,750,967,0.4368,343400.0,1754072.5,6868.0,510.8,9.8918,0.8734,11632.64,,,,,sell_at_target,0.6101
stink_bid,ETH,optimistic,6904,3507,0.508,2254,1253,0.6427,188345.0,851527.91,3766.9,452.11,11.9716,0.8163,1136.14,0.02,0.001,100.0,5.0,sell_at_2x,0.6097
stink_bid,ETH,optimistic,6904,3507,0.508,2254,1253,0.6427,184927.0,838717.02,3698.54,453.54,11.9557,0.8153,1139.26,0.02,0.001,100.0,3.0,sell_at_2x,0.6084
volatility_spread,SOL,optimistic,3354,1735,0.5173,767,968,0.4421,347000.0,1740966.1,6940.0,501.72,9.8163,0.8541,11387.44,,,,,sell_at_target,0.6083
stink_bid,ETH,optimistic,6904,3521,0.51,2218,1303,0.6299,188415.0,858252.74,3768.3,455.51,12.0221,0.8141,1166.04,0.02,0.002,100.0,5.0,sell_at_2x,0.6071
stink_bid,ETH,optimistic,6904,3507,0.508,2254,1253,0.6427,181509.0,825906.13,3630.18,455.02,11.9394,0.8142,1143.44,0.02,0.001,100.0,1.0,sell_at_2x,0.607
stink_bid,ETH,optimistic,6904,3472,0.5029,2275,1197,0.6552,184845.0,797709.77,3696.9,431.56,12.0947,0.7665,942.6,0.01,0.001,100.0,5.0,sell_at_2x,0.6063
stink_bid,ETH,optimistic,6904,3522,0.5101,2206,1316,0.6263,188420.0,858124.63,3768.4,455.43,12.011,0.8138,1166.04,0.02,0.003,100.0,5.0,sell_at_2x,0.6059
