strategy,crypto,fill_model,total_trades,filled_trades,fill_rate,winning_trades,losing_trades,win_rate,total_capital_deployed,total_net_pnl,total_fees,roi_pct,profit_factor,sharpe_ratio,max_drawdown,param_tier1_price,param_tier2_price,param_tier1_capital,param_tier2_capital,param_exit_strategy
stink_bid,ETH,realistic,6904,1746,0.2529,113,1633,0.0647,30712.0,121036.13,614.24,394.1,5.1853,0.5795,6238.32,0.01,0.001,50.0,3.0,sell_at_25x
stink_bid,SOL,optimistic,6708,3342,0.4982,254,3088,0.076,89456.0,379585.06,1789.12,424.33,5.5114,0.6795,8376.24,0.01,0.001,50.0,3.0,sell_at_25x
stink_bid,SOL,realistic,6708,750,0.1118,56,694,0.0747,6104.0,28519.96,122.08,467.23,6.443,0.5315,615.06,0.01,0.001,50.0,3.0,sell_at_25x
stink_bid,BTC,optimistic,6908,3487,0.5048,130,3357,0.0373,93275.0,259589.08,1865.5,278.31,3.8465,0.6023,11727.96,0.01,0.001,50.0,3.0,sell_at_50x
stink_bid,BTC,realistic,6908,2818,0.4079,77,2741,0.0273,67768.0,56728.35,1355.36,83.71,1.841,0.5257,10287.72,0.01,0.001,50.0,3.0,sell_at_50x
stink_bid,BTC,optimistic,6908,3487,0.5048,116,3371,0.0333,93275.0,304349.22,1865.5,326.29,4.327,0.6412,11941.14,0.01,0.001,50.0,3.0,sell_at_75x
stink_bid,BTC,realistic,6908,2818,0.4079,67,2751,0.0238,67768.0,76340.1,1355.36,112.65,2.1297,0.5942,12498.06,0.01,0.001,50.0,3.0,sell_at_75x
stink_bid,BTC,optimistic,6908,3487,0.5048,96,3391,0.0275,93275.0,348291.11,1865.5,373.4,4.7909,0.6547,11941.14,0.01,0.001,50.0,3.0,sell_at_100x
stink_bid,BTC,realistic,6908,2818,0.4079,49,2769,0.0174,67768.0,84328.03,1355.36,124.44,2.2416,0.5494,13270.08,0.01,0.001,50.0,3.0,sell_at_100x
stink_bid,BTC,optimistic,6908,3487,0.5048,86,3401,0.0247,93275.0,380989.82,1865.5,408.46,5.1347,0.6845,14443.2,0.01,0.001,50.0,3.0,sell_at_125x
stink_bid,BTC,realistic,6908,2818,0.4079,41,2777,0.0145,67768.0,83222.96,1355.36,122.81,2.2223,0.5428,13570.08,0.01,0.001,50.0,3.0,sell_at_125x
stink_bid,BTC,optimistic,6908,3487,0.5048,79,3408,0.0227,93275.0,391289.34,1865.5,419.5,5.2389,0.6783,14443.2,0.01,0.001,50.0,3.0,sell_at_150x
stink_bid,BTC,realistic,6908,2818,0.4079,35,2783,0.0124,67768.0,76360.38,1355.36,112.68,2.1188,0.429,15123.54,0.01,0.001,50.0,3.0,sell_at_150x
